STOCK_SYMBOL,STOCK_ID,HOUR_AFTER_MIDNIGHT,VWAP
AAPL,14,4,162.7312
ABEV,28,4,4.7500
ACB,44,4,6.8500
ACIU,60,4,7.0100
AGQ,187,4,27.7100
ALGN,272,4,208.9800
AMD,331,4,20.8166
AMZN,381,4,1617.7402
AU,596,4,13.8757
BABA,676,4,159.8313
BBL,723,4,43.4391
BBVA,736,4,6.0400
BCS,766,4,8.4050
BOIL,962,4,24.9133
BP,981,4,40.2700
BTI,1078,4,33.8931
BTX,1083,4,1.6904
BX,1113,4,33.2500
CSCO,1718,4,45.9500
CUK,1793,4,55.9700
DB,1888,4,9.1650
DGAZ,1984,4,89.5409
DIA,2013,4,246.6418
DPW,2109,4,0.0945
DRD,2114,4,2.1818
DWT,2210,4,9.6470
EBAY,2257,4,33.5098
ERIC,2521,4,8.8400
FB,2728,4,145.3617
FNV,3000,4,76.5800
FRO,3061,4,5.2000
GLD,3334,4,124.1901
GOGL,3410,4,5.0500
GOLD,3413,4,12.9300
GOOG,3419,4,1063.3500
GRIN,3459,4,6.7500
GS,3477,4,201.1000
GSK,3502,4,39.2217
HD,3614,4,179.6900
HMY,3722,4,2.0200
HSBC,3768,4,42.4747
IFF,3982,4,138.9500
ING,4094,4,12.0700
JNUG,4402,4,10.6009
LRCX,4813,4,168.0563
MCD,4922,4,182.5526
MLNX,5084,4,100.7000
MO,5138,4,46.4700
MSFT,5217,4,103.9000
MT,5228,4,23.3500
MU,5265,4,38.1556
NIO,5469,4,6.9600
NOK,5527,4,6.4581
NVDA,5628,4,134.0372
NVO,5638,4,46.3080
OCX,5710,4,5.7200
ORAN,5819,4,15.2983
PCG,5955,4,13.5753
PG,6059,4,93.5987
PHG,6080,4,37.5700
PYPL,6398,4,91.5825
QCOM,6419,4,49.9500
QID,6437,4,42.2221
QQQ,6449,4,162.7821
RDS.A,6536,4,59.3100
RIO,6634,4,55.2102
SAN,6831,4,4.8700
SAP,6836,4,102.2348
SBGL,6854,4,3.3000
SDS,6951,4,38.3900
